qty,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,diff_comp_1,ratio_comp_1,diff_comp_2,ratio_comp_2,diff_comp_3,ratio_comp_3,total_cost,product_category_name_computers_accessories,product_category_name_consoles_games,product_category_name_cool_stuff,product_category_name_furniture_decor,product_category_name_garden_tools,product_category_name_health_beauty,product_category_name_perfumery,product_category_name_watches_gifts
11,21.98272727,49.9,57,339,2,1800,4.2,137,23,8,2,1,2018,19.29824561,32560,49.9,4.1,19.495,49.9,4.2,15.84103448,49.9,4.1,16.50512821,56.97777778,0.0,1.0,0.0,1.0,0.0,1.0,71.88272727,False,False,False,False,True,False,False,False
8,14.08375,51.4,57,339,2,1800,4.2,160,20,8,2,2,2018,14.03508772,32560,50.54516129,4.1,16.61153846,50.9,4.2,17.51944444,50.35714286,4.1,18.281875,49.9,0.8548387099999957,1.0169123747591864,0.5,1.0098231827111985,1.0428571399999953,1.0207092198002434,65.48375,False,False,False,False,True,False,False,False
3,21.35,53.9,57,339,2,1800,4.2,116,22,9,1,3,2018,5.263157895,32560,53.9,4.1,20.35967742,53.9,4.2,21.85285714,53.9,4.1,19.02423077,51.4,0.0,1.0,0.0,1.0,0.0,1.0,75.25,False,False,False,False,True,False,False,False
8,19.56375,53.9,57,339,2,1800,4.2,111,21,9,1,4,2018,7.879612825,32560,53.9,4.1,5.28173913,53.9,4.2,19.46846154,53.9,4.1,19.07142857,53.9,0.0,1.0,0.0,1.0,0.0,1.0,73.46375,False,False,False,False,True,False,False,False
9,16.46,52.9,57,339,2,1800,4.2,102,23,8,3,5,2018,8.756805808,32560,53.41515152,4.1,10.75303571,53.70952381,4.2,13.51034483,53.05789474,4.1,12.98,53.9,-0.5151515200000034,0.9903557042273461,-0.8095238100000017,0.984927741812351,-0.15789474000000325,0.997024104692172,69.36,False,False,False,False,True,False,False,False
5,23.122,49.9,57,339,2,1800,4.2,58,21,9,0,6,2018,8.771929825,32560,49.9,4.1,19.89083333,49.9,4.2,23.25166667,49.9,4.1,22.87866667,52.9,0.0,1.0,0.0,1.0,0.0,1.0,73.02199999999999,False,False,False,False,True,False,False,False
6,20.99,49.9,57,339,2,1800,4.2,54,22,9,1,7,2018,8.711433757,32560,49.91,4.1,28.37333333,49.9,4.2,33.28142857,49.9,4.1,20.99,49.9,-0.00999999999999801,0.9997996393508315,0.0,1.0,0.0,1.0,70.89,False,False,False,False,True,False,False,False
7,24.48142857,49.9,57,339,2,1800,4.2,46,23,8,1,8,2018,11.31276467,32560,49.91,4.1,20.32833333,49.9,4.2,36.442,49.9,4.1,32.32,49.9,-0.00999999999999801,0.9997996393508315,0.0,1.0,0.0,1.0,74.38142857,False,False,False,False,True,False,False,False
11,11.75090909,19.99,48,575,1,100,4.3,19,20,8,2,2,2017,14.94444444,4500,19.99,4.3,11.75090909,19.99,4.3,11.75090909,64.99,3.9,15.348,19.94,0.0,1.0,0.0,1.0,-45.0,0.30758578242806583,31.74090909,False,False,False,False,False,True,False,False
9,13.81888889,19.99,48,575,1,100,4.3,25,23,8,1,3,2017,9.142857143,4500,19.99,4.3,13.81888889,89.99,4.1,13.02,64.99,3.9,17.26222222,19.99,0.0,1.0,-70.0,0.22213579286587398,-45.0,0.30758578242806583,33.80888889,False,False,False,False,False,True,False,False
13,18.03846154,19.99,48,575,1,100,4.3,23,20,10,2,4,2017,5.777777778,4500,19.99,4.3,18.03846154,19.99,4.3,18.03846154,64.99,3.9,15.16888889,19.99,0.0,1.0,0.0,1.0,-45.0,0.30758578242806583,38.028461539999995,False,False,False,False,False,True,False,False
16,14.8475,19.99,48,575,1,100,4.3,41,23,8,1,5,2017,9.805555556,4500,19.99,4.3,14.8475,89.99,4.1,16.09833333,64.99,3.9,14.811875,19.99,0.0,1.0,-70.0,0.22213579286587398,-45.0,0.30758578242806583,34.8375,False,False,False,False,False,True,False,False
21,12.68333333,19.99,48,575,1,100,4.3,53,22,8,1,6,2017,7.345238095,4500,19.99,4.3,12.68333333,89.99,4.1,14.16333333,58.79952381,3.9,13.90333333,19.99,0.0,1.0,-70.0,0.22213579286587398,-38.80952381,0.33996873962098845,32.67333333,False,False,False,False,False,True,False,False
